"","participant","cue","response","response_order","condition"
"613","MM_004","hug","embrace",1,"cl"
"614","MM_004","hug","tightly",2,"cl"
"615","MM_004","hug","me",3,"cl"
"616","MM_004","pillow","sleep",1,"cl"
"617","MM_004","pillow","head",2,"cl"
"618","MM_004","pillow","bulster",3,"cl"
"619","MM_004","church","god",1,"cl"
"620","MM_004","church","bible",2,"cl"
"621","MM_004","church","prayer",3,"cl"
"622","MM_004","try","harder",1,"cl"
"623","MM_004","try","more",2,"cl"
"624","MM_004","try","less",3,"cl"
"625","MM_004","pizza","work",1,"cl"
"626","MM_004","pizza","sauce",2,"cl"
"627","MM_004","pizza","cheese",3,"cl"
"628","MM_004","jump","up",1,"cl"
"629","MM_004","jump","happy",2,"cl"
"630","MM_004","jump","",3,"cl"
"631","MM_004","game","cards",1,"cl"
"632","MM_004","game","play",2,"cl"
"633","MM_004","game","football",3,"cl"
"634","MM_004","coffee","love",1,"cl"
"635","MM_004","coffee","black",2,"cl"
"636","MM_004","coffee","beans",3,"cl"
"637","MM_004","kitchen","food",1,"cl"
"638","MM_004","kitchen","prepare",2,"cl"
"639","MM_004","kitchen","clean",3,"cl"
"640","MM_004","bench","sit",1,"cl"
"641","MM_004","bench","outside",2,"cl"
"642","MM_004","bench","talk",3,"cl"
"643","MM_004","please","stop",1,"cl"
"644","MM_004","please","end",2,"cl"
"645","MM_004","please","help",3,"cl"
"646","MM_004","take","me",1,"cl"
"647","MM_004","take","away",2,"cl"
"648","MM_004","take","down",3,"cl"
"649","MM_004","climb","up",1,"cl"
"650","MM_004","climb","rocks",2,"cl"
"651","MM_004","climb","wall",3,"cl"
"652","MM_004","share","food",1,"cl"
"653","MM_004","share","friends",2,"cl"
"654","MM_004","share","ride",3,"cl"
"655","MM_004","movie","show",1,"cl"
"656","MM_004","movie","theaters",2,"cl"
"657","MM_004","movie","long",3,"cl"
"658","MM_004","sneaker","shoes",1,"cl"
"659","MM_004","sneaker","laces",2,"cl"
"660","MM_004","sneaker","dirty",3,"cl"
"661","MM_004","hi","hello",1,"cl"
"662","MM_004","hi","bye",2,"cl"
"663","MM_004","hi","hey",3,"cl"
"664","MM_004","tiger","cat",1,"cl"
"665","MM_004","tiger","feline",2,"cl"
"666","MM_004","tiger","hungry",3,"cl"
"667","MM_004","talk","chat",1,"cl"
"668","MM_004","talk","phone",2,"cl"
"669","MM_004","talk","friends",3,"cl"
"670","MM_004","empty","trash",1,"cl"
"671","MM_004","empty","fridge",2,"cl"
"672","MM_004","empty","stomach",3,"cl"
"673","MM_004","careful","causious",1,"cl"
"674","MM_004","careful","government",2,"cl"
"675","MM_004","careful","listening",3,"cl"
